
task	acc_norm	95% confidence interval
205	63.90243902%	[57.1279%, 70.1656%]
206	64.07766990%	[57.3234%, 70.3165%]
207	64.25120773%	[57.5173%, 70.4658%]
208	64.42307692%	[57.7094%, 70.6137%]
209	64.59330144%	[57.8998%, 70.7601%]
210	64.76190476%	[58.0885%, 70.9050%]
211	64.92890995%	[58.2755%, 71.0485%]
212	64.62264151%	[57.9783%, 70.7465%]
213	64.78873239%	[58.1641%, 70.8894%]
214	64.48598131%	[57.8705%, 70.5906%]
215	64.18604651%	[57.5799%, 70.2942%]
216	64.35185185%	[57.7648%, 70.4373%]
217	64.05529954%	[57.4776%, 70.1441%]
218	64.22018349%	[57.6613%, 70.2866%]
219	64.38356164%	[57.8434%, 70.4278%]
220	64.54545455%	[58.0241%, 70.5676%]
221	64.70588235%	[58.2031%, 70.7061%]
222	64.41441441%	[57.9202%, 70.4182%]
223	64.12556054%	[57.6402%, 70.1325%]
224	63.83928571%	[57.3629%, 69.8490%]
225	64.00000000%	[57.5415%, 69.9884%]
226	64.15929204%	[57.7187%, 70.1266%]
227	64.31718062%	[57.8944%, 70.2635%]
228	64.47368421%	[58.0687%, 70.3991%]
229	64.62882096%	[58.2415%, 70.5334%]
230	64.78260870%	[58.4129%, 70.6666%]
231	64.93506494%	[58.5830%, 70.7986%]
232	65.08620690%	[58.7516%, 70.9293%]
233	64.80686695%	[58.4798%, 70.6536%]
234	64.52991453%	[58.2105%, 70.3799%]
235	64.68085106%	[58.3785%, 70.5109%]
236	64.40677966%	[58.1122%, 70.2399%]
237	64.55696203%	[58.2792%, 70.3704%]
238	64.70588235%	[58.4449%, 70.4997%]
239	64.85355649%	[58.6093%, 70.6279%]
240	64.58333333%	[58.3463%, 70.3608%]
241	64.31535270%	[58.0858%, 70.0957%]
242	64.46280992%	[58.2496%, 70.2241%]
243	64.19753086%	[57.9918%, 69.9614%]
244	64.34426230%	[58.1546%, 70.0893%]
245	64.08163265%	[57.8994%, 69.8291%]
246	63.82113821%	[57.6465%, 69.5708%]
247	63.96761134%	[57.8086%, 69.6988%]
248	63.70967742%	[57.5583%, 69.4428%]
249	63.85542169%	[57.7195%, 69.5703%]
250	64.00000000%	[57.8795%, 69.6968%]
251	64.14342629%	[58.0383%, 69.8222%]
252	64.28571429%	[58.1959%, 69.9465%]
253	64.42687747%	[58.3524%, 70.0698%]
254	64.56692913%	[58.5076%, 70.1922%]
255	64.70588235%	[58.6618%, 70.3135%]
256	64.45312500%	[58.4156%, 70.0633%]
257	64.20233463%	[58.1716%, 69.8148%]
258	63.95348837%	[57.9296%, 69.5680%]
259	63.70656371%	[57.6897%, 69.3228%]
260	63.46153846%	[57.4518%, 69.0793%]
261	63.60153257%	[57.6062%, 69.2023%]
262	63.35877863%	[57.3706%, 68.9609%]
263	63.11787072%	[57.1369%, 68.7211%]
264	62.87878788%	[56.9052%, 68.4829%]
265	63.01886792%	[57.0592%, 68.6065%]
266	63.15789474%	[57.2121%, 68.7291%]
267	63.29588015%	[57.3639%, 68.8507%]
268	63.05970149%	[57.1348%, 68.6155%]
269	63.19702602%	[57.2857%, 68.7367%]
270	63.33333333%	[57.4357%, 68.8569%]
271	63.46863469%	[57.5846%, 68.9762%]
272	63.60294118%	[57.7324%, 69.0946%]
273	63.36996337%	[57.5061%, 68.8628%]
274	63.50364964%	[57.6531%, 68.9808%]
275	63.63636364%	[57.7992%, 69.0978%]
276	63.76811594%	[57.9442%, 69.2140%]
277	63.53790614%	[57.7204%, 68.9851%]
278	63.66906475%	[57.8647%, 69.1008%]
279	63.79928315%	[58.0080%, 69.2157%]
280	63.57142857%	[57.7864%, 68.9891%]
281	63.70106762%	[57.9290%, 69.1036%]
282	63.82978723%	[58.0706%, 69.2173%]
283	63.95759717%	[58.2113%, 69.3300%]
284	63.73239437%	[57.9920%, 69.1062%]
285	63.85964912%	[58.1320%, 69.2186%]
286	63.63636364%	[57.9147%, 68.9966%]
287	63.76306620%	[58.0540%, 69.1086%]
288	63.88888889%	[58.1923%, 69.2198%]
289	64.01384083%	[58.3298%, 69.3302%]
290	63.79310345%	[58.1147%, 69.1108%]
291	63.91752577%	[58.2515%, 69.2209%]
292	64.04109589%	[58.3875%, 69.3301%]
293	64.16382253%	[58.5225%, 69.4386%]
294	64.28571429%	[58.6567%, 69.5463%]
295	64.40677966%	[58.7900%, 69.6532%]
296	64.52702703%	[58.9224%, 69.7594%]
297	64.30976431%	[58.7103%, 69.5438%]
298	64.42953020%	[58.8421%, 69.6497%]
299	64.54849498%	[58.9731%, 69.7548%]
300	64.66666667%	[59.1033%, 69.8592%]
301	64.45182724%	[58.8934%, 69.6461%]
302	64.23841060%	[58.6850%, 69.4342%]
303	64.02640264%	[58.4781%, 69.2235%]
304	64.14473684%	[58.6081%, 69.3284%]
305	64.26229508%	[58.7373%, 69.4325%]
306	64.37908497%	[58.8657%, 69.5360%]
307	64.16938111%	[58.6609%, 69.3277%]
308	63.96103896%	[58.4575%, 69.1206%]
309	64.07766990%	[58.5855%, 69.2241%]
310	63.87096774%	[58.3838%, 69.0185%]
311	63.98713826%	[58.5113%, 69.1217%]
312	64.10256410%	[58.6379%, 69.2242%]
313	64.21725240%	[58.7638%, 69.3259%]
314	64.33121019%	[58.8889%, 69.4271%]
315	64.44444444%	[59.0133%, 69.5275%]
316	64.55696203%	[59.1370%, 69.6273%]
317	64.35331230%	[58.9378%, 69.4251%]
318	64.46540881%	[59.0609%, 69.5246%]
319	64.57680251%	[59.1833%, 69.6234%]
320	64.68750000%	[59.3049%, 69.7216%]
321	64.79750779%	[59.4259%, 69.8192%]
322	64.90683230%	[59.5461%, 69.9161%]
323	64.70588235%	[59.3493%, 69.7168%]
324	64.50617284%	[59.1538%, 69.5186%]
325	64.61538462%	[59.2737%, 69.6156%]
326	64.72392638%	[59.3929%, 69.7120%]
327	64.83180428%	[59.5114%, 69.8077%]
328	64.93902439%	[59.6293%, 69.9029%]
329	65.04559271%	[59.7464%, 69.9975%]
330	65.15151515%	[59.8629%, 70.0915%]
331	64.95468278%	[59.6699%, 69.8963%]
332	65.06024096%	[59.7859%, 69.9900%]
333	64.86486486%	[59.5944%, 69.7963%]
334	64.97005988%	[59.7099%, 69.8898%]
335	65.07462687%	[59.8248%, 69.9827%]
336	64.88095238%	[59.6349%, 69.7906%]
337	64.98516320%	[59.7493%, 69.8832%]
338	64.79289941%	[59.5609%, 69.6925%]
339	64.89675516%	[59.6748%, 69.7849%]
340	65.00000000%	[59.7881%, 69.8767%]
341	65.10263930%	[59.9008%, 69.9680%]
342	65.20467836%	[60.0129%, 70.0587%]
343	65.30612245%	[60.1243%, 70.1489%]
344	65.40697674%	[60.2352%, 70.2385%]
345	65.21739130%	[60.0490%, 70.0506%]
346	65.02890173%	[59.8640%, 69.8637%]
347	65.12968300%	[59.9746%, 69.9534%]
348	65.22988506%	[60.0846%, 70.0426%]
349	65.32951289%	[60.1940%, 70.1313%]
350	65.14285714%	[60.0107%, 69.9462%]
351	65.24216524%	[60.1197%, 70.0346%]
352	65.34090909%	[60.2280%, 70.1226%]
353	65.43909348%	[60.3358%, 70.2099%]
354	65.25423729%	[60.1542%, 70.0267%]
355	65.35211268%	[60.2616%, 70.1139%]
356	65.44943820%	[60.3684%, 70.2006%]
357	65.26610644%	[60.1883%, 70.0189%]
358	65.36312849%	[60.2947%, 70.1053%]
359	65.45961003%	[60.4006%, 70.1913%]
360	65.55555556%	[60.5059%, 70.2767%]
361	65.37396122%	[60.3274%, 70.0968%]
362	65.19337017%	[60.1499%, 69.9177%]
363	65.28925620%	[60.2550%, 70.0033%]
364	65.10989011%	[60.0788%, 69.8254%]
365	65.20547945%	[60.1835%, 69.9107%]
366	65.30054645%	[60.2877%, 69.9955%]
367	65.39509537%	[60.3913%, 70.0799%]
368	65.48913043%	[60.4944%, 70.1638%]
369	65.31165312%	[60.3199%, 69.9879%]
370	65.40540541%	[60.4226%, 70.0716%]
371	65.49865229%	[60.5248%, 70.1548%]
372	65.32258065%	[60.3517%, 69.9802%]
373	65.14745308%	[60.1796%, 69.8065%]
374	65.24064171%	[60.2816%, 69.8898%]
375	65.06666667%	[60.1106%, 69.7172%]
376	65.15957447%	[60.2122%, 69.8003%]
377	65.25198939%	[60.3134%, 69.8829%]
378	65.07936508%	[60.1437%, 69.7116%]
379	65.17150396%	[60.2445%, 69.7941%]
380	65.26315789%	[60.3447%, 69.8761%]
381	65.09186352%	[60.1763%, 69.7061%]
382	65.18324607%	[60.2763%, 69.7879%]
383	65.27415144%	[60.3757%, 69.8693%]
384	65.36458333%	[60.4746%, 69.9502%]
385	65.45454545%	[60.5730%, 70.0307%]
386	65.54404145%	[60.6710%, 70.1108%]
387	65.37467700%	[60.5043%, 69.9428%]
388	65.46391753%	[60.6019%, 70.0227%]
389	65.55269923%	[60.6991%, 70.1021%]
390	65.38461538%	[60.5337%, 69.9355%]
391	65.21739130%	[60.3692%, 69.7695%]
392	65.30612245%	[60.4661%, 69.8490%]
393	65.13994911%	[60.3027%, 69.6841%]
394	65.22842640%	[60.3993%, 69.7635%]
395	65.31645570%	[60.4955%, 69.8424%]
396	65.40404040%	[60.5912%, 69.9209%]
397	65.23929471%	[60.4291%, 69.7574%]
398	65.32663317%	[60.5245%, 69.8358%]
399	65.41353383%	[60.6194%, 69.9137%]
400	65.50000000%	[60.7139%, 69.9912%]
401	65.58603491%	[60.8079%, 70.0683%]
402	65.67164179%	[60.9015%, 70.1451%]
403	65.75682382%	[60.9947%, 70.2214%]
404	65.59405941%	[60.8343%, 70.0601%]
405	65.67901235%	[60.9272%, 70.1362%]
406	65.76354680%	[61.0196%, 70.2120%]
407	65.84766585%	[61.1115%, 70.2874%]
408	65.93137255%	[61.2031%, 70.3625%]
409	65.77017115%	[61.0442%, 70.2027%]
410	65.85365854%	[61.1354%, 70.2776%]
411	65.93673966%	[61.2263%, 70.3521%]
412	65.77669903%	[61.0685%, 70.1935%]
413	65.85956416%	[61.1590%, 70.2678%]
414	65.70048309%	[61.0022%, 70.1101%]
415	65.78313253%	[61.0925%, 70.1843%]
416	65.86538462%	[61.1823%, 70.2581%]
417	65.70743405%	[61.0266%, 70.1015%]
418	65.78947368%	[61.1162%, 70.1752%]
419	65.87112172%	[61.2054%, 70.2485%]
420	65.95238095%	[61.2941%, 70.3214%]
421	65.79572447%	[61.1396%, 70.1662%]
422	65.87677725%	[61.2281%, 70.2390%]
423	65.95744681%	[61.3163%, 70.3114%]
424	65.80188679%	[61.1628%, 70.1572%]
425	65.88235294%	[61.2506%, 70.2295%]
426	65.96244131%	[61.3381%, 70.3015%]
427	66.04215457%	[61.4252%, 70.3731%]
428	66.12149533%	[61.5118%, 70.4443%]
429	65.96736597%	[61.3597%, 70.2916%]
430	65.81395349%	[61.2083%, 70.1395%]
431	65.66125290%	[61.0577%, 69.9881%]
432	65.74074074%	[61.1444%, 70.0596%]
433	65.81986143%	[61.2307%, 70.1308%]
434	65.89861751%	[61.3166%, 70.2016%]
435	65.74712644%	[61.1672%, 70.0514%]
436	65.59633028%	[61.0184%, 69.9018%]
437	65.67505721%	[61.1042%, 69.9727%]
438	65.75342466%	[61.1897%, 70.0433%]
439	65.60364465%	[61.0419%, 69.8947%]
440	65.45454545%	[60.8949%, 69.7466%]
441	65.30612245%	[60.7486%, 69.5992%]
442	65.38461538%	[60.8341%, 69.6701%]
443	65.23702032%	[60.6886%, 69.5234%]
444	65.31531532%	[60.7738%, 69.5941%]
445	65.39325843%	[60.8586%, 69.6645%]
446	65.24663677%	[60.7141%, 69.5188%]
447	65.32438479%	[60.7986%, 69.5890%]
448	65.40178571%	[60.8828%, 69.6589%]
449	65.47884187%	[60.9666%, 69.7284%]
450	65.33333333%	[60.8232%, 69.5839%]
451	65.18847007%	[60.6804%, 69.4400%]
452	65.26548673%	[60.7641%, 69.5096%]
453	65.12141280%	[60.6222%, 69.3664%]
454	64.97797357%	[60.4809%, 69.2237%]
455	65.05494505%	[60.5644%, 69.2934%]
456	65.13157895%	[60.6477%, 69.3627%]
457	64.98905908%	[60.5073%, 69.2210%]
458	65.06550218%	[60.5902%, 69.2901%]
459	65.14161220%	[60.6729%, 69.3590%]
460	65.00000000%	[60.5334%, 69.2182%]
461	64.85900217%	[60.3945%, 69.0779%]
462	64.93506494%	[60.4770%, 69.1468%]
463	64.79481641%	[60.3389%, 69.0073%]
464	64.65517241%	[60.2014%, 68.8683%]
465	64.73118280%	[60.2838%, 68.9372%]
466	64.80686695%	[60.3658%, 69.0058%]
467	64.66809422%	[60.2292%, 68.8676%]
468	64.74358974%	[60.3110%, 68.9361%]
469	64.81876333%	[60.3925%, 69.0043%]
470	64.89361702%	[60.4736%, 69.0722%]
471	64.96815287%	[60.5544%, 69.1397%]
472	65.04237288%	[60.6349%, 69.2070%]
473	65.11627907%	[60.7150%, 69.2740%]
474	65.18987342%	[60.7948%, 69.3407%]
475	65.05263158%	[60.6595%, 69.2042%]
476	64.91596639%	[60.5249%, 69.0682%]
477	64.98951782%	[60.6046%, 69.1350%]
478	65.06276151%	[60.6840%, 69.2014%]
479	64.92693111%	[60.5501%, 69.0663%]
480	65.00000000%	[60.6293%, 69.1326%]
481	64.86486486%	[60.4961%, 68.9981%]
482	64.73029046%	[60.3635%, 68.8641%]
483	64.80331263%	[60.4426%, 68.9304%]
484	64.87603306%	[60.5213%, 68.9965%]
485	64.94845361%	[60.5997%, 69.0622%]
486	65.02057613%	[60.6778%, 69.1277%]
487	64.88706366%	[60.5462%, 68.9949%]
488	64.75409836%	[60.4152%, 68.8625%]
489	64.82617587%	[60.4932%, 68.9280%]
490	64.69387755%	[60.3629%, 68.7963%]
491	64.56211813%	[60.2331%, 68.6650%]
492	64.63414634%	[60.3110%, 68.7305%]
493	64.50304260%	[60.1819%, 68.5999%]
494	64.57489879%	[60.2596%, 68.6653%]
495	64.64646465%	[60.3369%, 68.7304%]
496	64.51612903%	[60.2086%, 68.6006%]
497	64.38631791%	[60.0808%, 68.4712%]
498	64.45783133%	[60.1580%, 68.5363%]
499	64.52905812%	[60.2350%, 68.6012%]
500	64.60000000%	[60.3116%, 68.6658%]
501	64.67065868%	[60.3880%, 68.7301%]
502	64.54183267%	[60.2611%, 68.6017%]
503	64.61232604%	[60.3372%, 68.6659%]
504	64.68253968%	[60.4131%, 68.7299%]
505	64.75247525%	[60.4886%, 68.7936%]
506	64.62450593%	[60.3625%, 68.6661%]
507	64.69428008%	[60.4379%, 68.7296%]
508	64.76377953%	[60.5130%, 68.7929%]
509	64.63654224%	[60.3876%, 68.6662%]
510	64.50980392%	[60.2628%, 68.5399%]
511	64.57925636%	[60.3377%, 68.6032%]
512	64.64843750%	[60.4124%, 68.6663%]
513	64.71734893%	[60.4869%, 68.7291%]
514	64.59143969%	[60.3628%, 68.6036%]
515	64.66019417%	[60.4370%, 68.6663%]
516	64.53488372%	[60.3135%, 68.5414%]
517	64.60348162%	[60.3876%, 68.6040%]
518	64.47876448%	[60.2647%, 68.4797%]
519	64.54720617%	[60.3385%, 68.5421%]
520	64.42307692%	[60.2162%, 68.4184%]
521	64.49136276%	[60.2899%, 68.4807%]
522	64.36781609%	[60.1682%, 68.3575%]
523	64.43594646%	[60.2416%, 68.4197%]
524	64.31297710%	[60.1205%, 68.2971%]
525	64.38095238%	[60.1938%, 68.3592%]
526	64.44866920%	[60.2668%, 68.4210%]
527	64.51612903%	[60.3395%, 68.4826%]
528	64.39393939%	[60.2191%, 68.3608%]
529	64.27221172%	[60.0992%, 68.2394%]
530	64.33962264%	[60.1719%, 68.3010%]
531	64.40677966%	[60.2442%, 68.3624%]
532	64.47368421%	[60.3163%, 68.4235%]
533	64.54033771%	[60.3882%, 68.4844%]
534	64.60674157%	[60.4598%, 68.5451%]
535	64.67289720%	[60.5311%, 68.6055%]
536	64.73880597%	[60.6022%, 68.6657%]
537	64.80446927%	[60.6730%, 68.7256%]
538	64.86988848%	[60.7436%, 68.7854%]
539	64.93506494%	[60.8139%, 68.8449%]
540	64.81481481%	[60.6953%, 68.7251%]
541	64.87985213%	[60.7654%, 68.7845%]
542	64.94464945%	[60.8353%, 68.8437%]
543	64.82504604%	[60.7173%, 68.7245%]
544	64.88970588%	[60.7870%, 68.7836%]
545	64.95412844%	[60.8565%, 68.8424%]
546	65.01831502%	[60.9257%, 68.9010%]
547	65.08226691%	[60.9947%, 68.9594%]
548	65.14598540%	[61.0635%, 69.0176%]
549	65.20947177%	[61.1320%, 69.0756%]
550	65.27272727%	[61.2003%, 69.1333%]
551	65.15426497%	[61.0833%, 69.0154%]
552	65.21739130%	[61.1514%, 69.0731%]
553	65.09945750%	[61.0349%, 68.9557%]
554	64.98194946%	[60.9189%, 68.8387%]
555	65.04504505%	[60.9869%, 68.8963%]
556	64.92805755%	[60.8714%, 68.7798%]
557	64.99102334%	[60.9393%, 68.8374%]
558	65.05376344%	[61.0069%, 68.8947%]
559	65.11627907%	[61.0743%, 68.9519%]
560	65.17857143%	[61.1415%, 69.0088%]
561	65.24064171%	[61.2085%, 69.0655%]
562	65.30249110%	[61.2752%, 69.1220%]
563	65.18650089%	[61.1606%, 69.0066%]
564	65.24822695%	[61.2271%, 69.0630%]
565	65.30973451%	[61.2935%, 69.1192%]
566	65.37102473%	[61.3596%, 69.1752%]
567	65.43209877%	[61.4255%, 69.2310%]
568	65.31690141%	[61.3116%, 69.1164%]
569	65.20210896%	[61.1982%, 69.0022%]
570	65.08771930%	[61.0852%, 68.8883%]
571	65.14886165%	[61.1511%, 68.9442%]
572	65.20979021%	[61.2167%, 68.9999%]
573	65.27050611%	[61.2822%, 69.0555%]
574	65.33101045%	[61.3474%, 69.1108%]
575	65.39130435%	[61.4124%, 69.1659%]
576	65.27777778%	[61.3002%, 69.0530%]
577	65.33795494%	[61.3650%, 69.1080%]
578	65.39792388%	[61.4297%, 69.1629%]
579	65.28497409%	[61.3180%, 69.0504%]
580	65.34482759%	[61.3825%, 69.1052%]
581	65.40447504%	[61.4468%, 69.1598%]
