
task	acc_norm	95% confidence interval
73	26.02739726%	[17.3422%, 37.1095%]
74	25.67567568%	[17.0977%, 36.6544%]
75	25.33333333%	[16.8600%, 36.2103%]
76	25.00000000%	[16.6289%, 35.7768%]
77	24.67532468%	[16.4041%, 35.3534%]
78	24.35897436%	[16.1852%, 34.9398%]
79	24.05063291%	[15.9722%, 34.5357%]
80	25.00000000%	[16.8062%, 35.4847%]
81	24.69135802%	[16.5903%, 35.0843%]
82	25.60975610%	[17.4036%, 35.9989%]
83	25.30120482%	[17.1852%, 35.6023%]
84	26.19047619%	[17.9785%, 36.4849%]
85	25.88235294%	[17.7581%, 36.0923%]
86	25.58139535%	[17.5431%, 35.7079%]
87	25.28735632%	[17.3332%, 35.3316%]
88	25.00000000%	[17.1283%, 34.9630%]
89	24.71910112%	[16.9282%, 34.6020%]
90	24.44444444%	[16.7328%, 34.2484%]
91	25.27472527%	[17.4727%, 35.0797%]
92	26.08695652%	[18.2022%, 35.8886%]
93	25.80645161%	[17.9985%, 35.5338%]
94	26.59574468%	[18.7116%, 36.3177%]
95	27.36842105%	[19.4146%, 37.0814%]
96	28.12500000%	[20.1074%, 37.8259%]
97	27.83505155%	[19.8912%, 37.4676%]
98	27.55102041%	[19.6796%, 37.1160%]
99	28.28282828%	[20.3520%, 37.8361%]
100	28.00000000%	[20.1397%, 37.4880%]
101	27.72277228%	[19.9318%, 37.1462%]
102	27.45098039%	[19.7282%, 36.8106%]
103	28.15533981%	[20.3765%, 37.5050%]
104	27.88461538%	[20.1723%, 37.1725%]
105	27.61904762%	[19.9721%, 36.8458%]
106	28.30188679%	[20.6025%, 37.5190%]
107	28.03738318%	[20.4018%, 37.1953%]
108	28.70370370%	[21.0194%, 37.8510%]
109	28.44036697%	[20.8183%, 37.5303%]
110	29.09090909%	[21.4236%, 38.1693%]
111	28.82882883%	[21.2223%, 37.8517%]
112	29.46428571%	[21.8157%, 38.4749%]
113	30.08849558%	[22.4012%, 39.0850%]
114	29.82456140%	[22.1961%, 38.7684%]
115	30.43478261%	[22.7704%, 39.3640%]
116	31.03448276%	[23.3372%, 39.9476%]
117	31.62393162%	[23.8967%, 40.5195%]
118	31.35593220%	[23.6850%, 40.2025%]
119	31.09243697%	[23.4770%, 39.8904%]
120	30.83333333%	[23.2727%, 39.5830%]
121	31.40495868%	[23.8154%, 40.1389%]
122	31.96721311%	[24.3512%, 40.6842%]
123	32.52032520%	[24.8802%, 41.2192%]
124	32.25806452%	[24.6704%, 40.9120%]
125	32.80000000%	[25.1900%, 41.4357%]
126	32.53968254%	[24.9809%, 41.1316%]
127	33.07086614%	[25.4913%, 41.6445%]
128	32.81250000%	[25.2830%, 41.3436%]
129	32.55813953%	[25.0781%, 41.0469%]
130	33.07692308%	[25.5770%, 41.5483%]
131	33.58778626%	[26.0699%, 42.0408%]
132	33.33333333%	[25.8633%, 41.7460%]
133	33.08270677%	[25.6600%, 41.4552%]
134	33.58208955%	[26.1422%, 41.9370%]
135	33.33333333%	[25.9397%, 41.6492%]
136	33.08823529%	[25.7404%, 41.3653%]
137	32.84671533%	[25.5440%, 41.0851%]
138	32.60869565%	[25.3507%, 40.8087%]
139	32.37410072%	[25.1603%, 40.5359%]
140	32.14285714%	[24.9727%, 40.2668%]
141	31.91489362%	[24.7880%, 40.0011%]
142	31.69014085%	[24.6059%, 39.7389%]
143	32.16783217%	[25.0646%, 40.2040%]
144	31.94444444%	[24.8831%, 39.9441%]
145	31.72413793%	[24.7042%, 39.6875%]
146	31.50684932%	[24.5278%, 39.4341%]
147	31.29251701%	[24.3540%, 39.1839%]
148	31.08108108%	[24.1826%, 38.9368%]
149	31.54362416%	[24.6259%, 39.3891%]
150	32.00000000%	[25.0645%, 39.8344%]
151	31.78807947%	[24.8916%, 39.5882%]
152	31.57894737%	[24.7210%, 39.3451%]
153	32.02614379%	[25.1511%, 39.7816%]
154	31.81818182%	[24.9810%, 39.5404%]
155	31.61290323%	[24.8131%, 39.3020%]
156	32.05128205%	[25.2352%, 39.7301%]
157	31.84713376%	[25.0677%, 39.4936%]
158	32.27848101%	[25.4837%, 39.9145%]
159	32.07547170%	[25.3167%, 39.6799%]
160	32.50000000%	[25.7268%, 40.0939%]
161	32.91925466%	[26.1326%, 40.5020%]
162	32.71604938%	[25.9645%, 40.2683%]
163	32.51533742%	[25.7986%, 40.0372%]
164	32.92682927%	[26.1972%, 40.4380%]
165	33.33333333%	[26.5919%, 40.8332%]
166	33.13253012%	[26.4249%, 40.6031%]
167	33.53293413%	[26.8142%, 40.9922%]
168	33.92857143%	[27.1997%, 41.3760%]
169	34.31952663%	[27.5814%, 41.7546%]
170	34.11764706%	[27.4122%, 41.5250%]
171	34.50292398%	[27.7888%, 41.8980%]
172	34.88372093%	[28.1618%, 42.2661%]
173	34.68208092%	[27.9920%, 42.0377%]
174	35.05747126%	[28.3601%, 42.4004%]
175	35.42857143%	[28.7247%, 42.7584%]
176	35.79545455%	[29.0858%, 43.1119%]
177	36.15819209%	[29.4435%, 43.4609%]
178	36.51685393%	[29.7978%, 43.8055%]
179	36.31284916%	[29.6239%, 43.5769%]
180	36.11111111%	[29.4521%, 43.3506%]
181	36.46408840%	[29.8008%, 43.6900%]
182	36.26373626%	[29.6298%, 43.4655%]
183	36.06557377%	[29.4608%, 43.2434%]
184	36.41304348%	[29.8041%, 43.5777%]
185	36.21621622%	[29.6359%, 43.3573%]
186	36.55913978%	[29.9750%, 43.6872%]
187	36.36363636%	[29.8077%, 43.4686%]
188	36.70212766%	[30.1427%, 43.7941%]
189	37.03703704%	[30.4747%, 44.1158%]
190	36.84210526%	[30.3072%, 43.8985%]
191	37.17277487%	[30.6353%, 44.2161%]
192	36.97916667%	[30.4687%, 44.0005%]
193	36.78756477%	[30.3039%, 43.7870%]
194	37.11340206%	[30.6271%, 44.1001%]
195	36.92307692%	[30.4632%, 43.8882%]
196	37.24489796%	[30.7827%, 44.1975%]
197	37.56345178%	[31.0994%, 44.5032%]
198	37.37373737%	[30.9354%, 44.2926%]
199	37.68844221%	[31.2486%, 44.5946%]
200	37.50000000%	[31.0854%, 44.3857%]
201	37.31343284%	[30.9240%, 44.1787%]
202	37.12871287%	[30.7643%, 43.9736%]
203	37.43842365%	[31.0722%, 44.2713%]
204	37.25490196%	[30.9132%, 44.0677%]
205	37.07317073%	[30.7559%, 43.8660%]
206	37.37864078%	[31.0596%, 44.1598%]
207	37.19806763%	[30.9031%, 43.9595%]
208	37.50000000%	[31.2035%, 44.2499%]
209	37.32057416%	[31.0477%, 44.0511%]
210	37.61904762%	[31.3449%, 44.3381%]
211	37.44075829%	[31.1899%, 44.1408%]
212	37.26415094%	[31.0365%, 43.9452%]
213	37.55868545%	[31.3297%, 44.2285%]
214	37.38317757%	[31.1770%, 44.0343%]
215	37.20930233%	[31.0258%, 43.8418%]
216	37.50000000%	[31.3152%, 44.1217%]
217	37.78801843%	[31.6022%, 44.3987%]
218	38.07339450%	[31.8869%, 44.6729%]
219	37.89954338%	[31.7351%, 44.4812%]
220	38.18181818%	[32.0169%, 44.7524%]
221	38.00904977%	[31.8658%, 44.5620%]
222	37.83783784%	[31.7162%, 44.3733%]
223	37.66816143%	[31.5679%, 44.1861%]
224	37.50000000%	[31.4210%, 44.0005%]
225	37.33333333%	[31.2755%, 43.8164%]
226	37.61061947%	[31.5518%, 44.0836%]
227	37.44493392%	[31.4070%, 43.9007%]
228	37.28070175%	[31.2635%, 43.7194%]
229	37.55458515%	[31.5364%, 43.9834%]
230	37.82608696%	[31.8072%, 44.2450%]
231	37.66233766%	[31.6638%, 44.0646%]
232	37.50000000%	[31.5216%, 43.8856%]
233	37.33905579%	[31.3807%, 43.7081%]
234	37.17948718%	[31.2411%, 43.5320%]
235	37.44680851%	[31.5074%, 43.7900%]
236	37.28813559%	[31.3684%, 43.6150%]
237	37.13080169%	[31.2307%, 43.4415%]
238	36.97478992%	[31.0941%, 43.2693%]
239	37.23849372%	[31.3567%, 43.5241%]
240	37.08333333%	[31.2207%, 43.3529%]
241	36.92946058%	[31.0859%, 43.1831%]
242	37.19008264%	[31.3454%, 43.4351%]
243	37.44855967%	[31.6030%, 43.6848%]
244	37.70491803%	[31.8587%, 43.9322%]
245	37.55102041%	[31.7234%, 43.7630%]
246	37.39837398%	[31.5892%, 43.5950%]
247	37.65182186%	[31.8421%, 43.8398%]
248	37.90322581%	[32.0931%, 44.0824%]
249	37.75100402%	[31.9590%, 43.9152%]
250	38.00000000%	[32.2077%, 44.1555%]
251	37.84860558%	[32.0742%, 43.9893%]
252	38.09523810%	[32.3207%, 44.2273%]
253	37.94466403%	[32.1878%, 44.0622%]
254	38.18897638%	[32.4321%, 44.2978%]
255	38.03921569%	[32.2997%, 44.1337%]
256	37.89062500%	[32.1685%, 43.9708%]
257	37.74319066%	[32.0383%, 43.8091%]
258	37.59689922%	[31.9092%, 43.6486%]
259	37.45173745%	[31.7811%, 43.4892%]
260	37.30769231%	[31.6540%, 43.3310%]
261	37.16475096%	[31.5280%, 43.1739%]
262	37.02290076%	[31.4029%, 43.0179%]
263	36.88212928%	[31.2789%, 42.8631%]
264	36.74242424%	[31.1558%, 42.7093%]
265	36.98113208%	[31.3935%, 42.9408%]
266	36.84210526%	[31.2709%, 42.7879%]
267	37.07865169%	[31.5066%, 43.0173%]
268	36.94029851%	[31.3845%, 42.8652%]
269	36.80297398%	[31.2633%, 42.7143%]
270	37.03703704%	[31.4965%, 42.9413%]
271	37.26937269%	[31.7281%, 43.1665%]
272	37.50000000%	[31.9583%, 43.3899%]
273	37.36263736%	[31.8367%, 43.2393%]
274	37.22627737%	[31.7160%, 43.0898%]
275	37.09090909%	[31.5963%, 42.9412%]
276	37.31884058%	[31.8236%, 43.1622%]
277	37.18411552%	[31.7043%, 43.0145%]
278	37.05035971%	[31.5859%, 42.8678%]
279	37.27598566%	[31.8110%, 43.0866%]
280	37.14285714%	[31.6930%, 42.9407%]
281	37.36654804%	[31.9162%, 43.1576%]
282	37.23404255%	[31.7987%, 43.0125%]
283	37.45583039%	[32.0201%, 43.2275%]
284	37.32394366%	[31.9031%, 43.0832%]
285	37.19298246%	[31.7869%, 42.9397%]
286	37.06293706%	[31.6715%, 42.7973%]
287	37.28222997%	[31.8903%, 43.0101%]
288	37.50000000%	[32.1078%, 43.2213%]
289	37.37024221%	[31.9925%, 43.0794%]
290	37.58620690%	[32.2082%, 43.2888%]
291	37.80068729%	[32.4226%, 43.4966%]
292	38.01369863%	[32.6357%, 43.7029%]
293	38.22525597%	[32.8476%, 43.9077%]
294	38.43537415%	[33.0581%, 44.1110%]
295	38.30508475%	[32.9417%, 43.9691%]
296	38.17567568%	[32.8262%, 43.8281%]
297	38.04713805%	[32.7115%, 43.6881%]
298	38.25503356%	[32.9197%, 43.8894%]
299	38.46153846%	[33.1266%, 44.0892%]
300	38.33333333%	[33.0120%, 43.9497%]
301	38.20598007%	[32.8981%, 43.8111%]
302	38.07947020%	[32.7851%, 43.6733%]
303	37.95379538%	[32.6728%, 43.5364%]
304	38.15789474%	[32.8772%, 43.7342%]
305	38.36065574%	[33.0803%, 43.9305%]
306	38.56209150%	[33.2823%, 44.1255%]
307	38.43648208%	[33.1698%, 43.9890%]
308	38.63636364%	[33.3703%, 44.1824%]
309	38.83495146%	[33.5696%, 44.3745%]
310	38.70967742%	[33.4572%, 44.2385%]
311	38.58520900%	[33.3456%, 44.1034%]
312	38.78205128%	[33.5431%, 44.2939%]
313	38.97763578%	[33.7395%, 44.4830%]
314	38.85350318%	[33.6280%, 44.3484%]
315	39.04761905%	[33.8230%, 44.5361%]
316	39.24050633%	[34.0169%, 44.7225%]
317	39.43217666%	[34.2097%, 44.9077%]
318	39.62264151%	[34.4014%, 45.0916%]
319	39.49843260%	[34.2895%, 44.9573%]
320	39.68750000%	[34.4798%, 45.1398%]
321	39.87538941%	[34.6691%, 45.3211%]
322	39.75155280%	[34.5573%, 45.1874%]
323	39.62848297%	[34.4463%, 45.0545%]
324	39.50617284%	[34.3359%, 44.9224%]
325	39.38461538%	[34.2262%, 44.7910%]
326	39.57055215%	[34.4134%, 44.9706%]
327	39.75535168%	[34.5995%, 45.1491%]
328	39.93902439%	[34.7846%, 45.3264%]
329	39.81762918%	[34.6749%, 45.1954%]
330	39.69696970%	[34.5658%, 45.0653%]
331	39.57703927%	[34.4574%, 44.9358%]
332	39.75903614%	[34.6407%, 45.1116%]
333	39.93993994%	[34.8230%, 45.2863%]
334	40.11976048%	[35.0044%, 45.4598%]
335	40.29850746%	[35.1847%, 45.6323%]
336	40.17857143%	[35.0760%, 45.5031%]
337	40.35608309%	[35.2552%, 45.6744%]
338	40.23668639%	[35.1469%, 45.5459%]
339	40.11799410%	[35.0393%, 45.4181%]
340	40.29411765%	[35.2170%, 45.5881%]
341	40.17595308%	[35.1098%, 45.4609%]
342	40.05847953%	[35.0033%, 45.3345%]
343	39.94169096%	[34.8974%, 45.2087%]
344	40.11627907%	[35.0735%, 45.3774%]
345	40.00000000%	[34.9680%, 45.2522%]
346	39.88439306%	[34.8632%, 45.1277%]
347	39.76945245%	[34.7590%, 45.0039%]
348	39.65517241%	[34.6554%, 44.8808%]
349	39.82808023%	[34.8296%, 45.0480%]
350	39.71428571%	[34.7264%, 44.9255%]
351	39.60113960%	[34.6239%, 44.8036%]
352	39.48863636%	[34.5219%, 44.6823%]
353	39.37677054%	[34.4205%, 44.5617%]
354	39.26553672%	[34.3197%, 44.4418%]
355	39.43661972%	[34.4919%, 44.6075%]
356	39.60674157%	[34.6632%, 44.7722%]
357	39.49579832%	[34.5626%, 44.6527%]
358	39.38547486%	[34.4625%, 44.5338%]
359	39.55431755%	[34.6325%, 44.6973%]
360	39.44444444%	[34.5328%, 44.5790%]
361	39.33518006%	[34.4337%, 44.4612%]
362	39.50276243%	[34.6024%, 44.6236%]
363	39.66942149%	[34.7703%, 44.7849%]
364	39.56043956%	[34.6713%, 44.6676%]
365	39.72602740%	[34.8381%, 44.8280%]
366	39.89071038%	[35.0041%, 44.9874%]
367	39.78201635%	[34.9052%, 44.8705%]
368	39.94565217%	[35.0702%, 45.0289%]
369	39.83739837%	[34.9717%, 44.9125%]
370	40.00000000%	[35.1357%, 45.0699%]
371	39.89218329%	[35.0375%, 44.9540%]
372	39.78494624%	[34.9399%, 44.8388%]
373	39.67828418%	[34.8429%, 44.7241%]
374	39.83957219%	[35.0054%, 44.8803%]
375	39.73333333%	[34.9087%, 44.7661%]
376	39.89361702%	[35.0703%, 44.9214%]
377	40.05305040%	[35.2311%, 45.0757%]
378	39.94708995%	[35.1345%, 44.9619%]
379	39.84168865%	[35.0385%, 44.8487%]
380	40.00000000%	[35.1981%, 45.0020%]
381	39.89501312%	[35.1024%, 44.8893%]
382	39.79057592%	[35.0073%, 44.7772%]
383	39.94778068%	[35.1658%, 44.9294%]
384	40.10416667%	[35.3235%, 45.0809%]
385	40.25974026%	[35.4805%, 45.2314%]
386	40.15544041%	[35.3853%, 45.1196%]
387	40.05167959%	[35.2906%, 45.0083%]
388	40.20618557%	[35.4465%, 45.1579%]
389	40.10282776%	[35.3521%, 45.0471%]
390	40.25641026%	[35.5071%, 45.1958%]
391	40.15345269%	[35.4131%, 45.0854%]
392	40.30612245%	[35.5672%, 45.2332%]
393	40.45801527%	[35.7205%, 45.3802%]
394	40.60913706%	[35.8732%, 45.5264%]
395	40.50632911%	[35.7791%, 45.4164%]
396	40.40404040%	[35.6856%, 45.3069%]
397	40.30226700%	[35.5925%, 45.1979%]
398	40.20100503%	[35.4999%, 45.0895%]
399	40.10025063%	[35.4078%, 44.9815%]
400	40.00000000%	[35.3162%, 44.8741%]
401	39.90024938%	[35.2250%, 44.7672%]
402	40.04975124%	[35.3758%, 44.9121%]
403	39.95037221%	[35.2849%, 44.8056%]
404	39.85148515%	[35.1945%, 44.6996%]
405	39.75308642%	[35.1046%, 44.5941%]
406	39.65517241%	[35.0152%, 44.4891%]
407	39.55773956%	[34.9262%, 44.3846%]
408	39.70588235%	[35.0754%, 44.5284%]
409	39.60880196%	[34.9867%, 44.4243%]
410	39.51219512%	[34.8984%, 44.3207%]
411	39.65936740%	[35.0467%, 44.4635%]
412	39.80582524%	[35.1943%, 44.6057%]
413	39.70944310%	[35.1062%, 44.5024%]
414	39.61352657%	[35.0185%, 44.3996%]
415	39.75903614%	[35.1651%, 44.5408%]
416	39.66346154%	[35.0777%, 44.4384%]
417	39.56834532%	[34.9907%, 44.3365%]
418	39.71291866%	[35.1364%, 44.4768%]
419	39.85680191%	[35.2814%, 44.6165%]
420	40.00000000%	[35.4258%, 44.7554%]
421	39.90498812%	[35.3388%, 44.6537%]
422	40.04739336%	[35.4824%, 44.7919%]
423	40.18912530%	[35.6254%, 44.9294%]
424	40.09433962%	[35.5385%, 44.8280%]
425	40.23529412%	[35.6808%, 44.9647%]
426	40.37558685%	[35.8224%, 45.1008%]
427	40.28103044%	[35.7357%, 44.9997%]
428	40.18691589%	[35.6493%, 44.8991%]
429	40.09324009%	[35.5634%, 44.7990%]
430	40.00000000%	[35.4778%, 44.6993%]
431	39.90719258%	[35.3927%, 44.6000%]
432	39.81481481%	[35.3080%, 44.5012%]
433	39.95381062%	[35.4482%, 44.6361%]
434	40.09216590%	[35.5878%, 44.7704%]
435	40.00000000%	[35.5032%, 44.6719%]
436	39.90825688%	[35.4190%, 44.5738%]
437	40.04576659%	[35.5577%, 44.7073%]
438	39.95433790%	[35.4738%, 44.6096%]
439	39.86332574%	[35.3902%, 44.5123%]
440	39.77272727%	[35.3071%, 44.4154%]
441	39.90929705%	[35.4448%, 44.5481%]
442	39.81900452%	[35.3619%, 44.4515%]
443	39.72911964%	[35.2794%, 44.3554%]
444	39.86486486%	[35.4163%, 44.4873%]
445	39.77528090%	[35.3341%, 44.3915%]
446	39.68609865%	[35.2522%, 44.2962%]
447	39.82102908%	[35.3882%, 44.4273%]
448	39.95535714%	[35.5237%, 44.5578%]
449	39.86636971%	[35.4419%, 44.4627%]
450	39.77777778%	[35.3605%, 44.3681%]
451	39.68957871%	[35.2795%, 44.2738%]
452	39.82300885%	[35.4141%, 44.4035%]
453	39.73509934%	[35.3333%, 44.3095%]
454	39.64757709%	[35.2529%, 44.2160%]
455	39.78021978%	[35.3866%, 44.3450%]
456	39.91228070%	[35.5198%, 44.4733%]
457	39.82494530%	[35.4395%, 44.3801%]
458	39.95633188%	[35.5720%, 44.5078%]
459	40.08714597%	[35.7039%, 44.6349%]
460	40.00000000%	[35.6238%, 44.5419%]
461	40.13015184%	[35.7551%, 44.6684%]
462	40.04329004%	[35.6751%, 44.5757%]
463	39.95680346%	[35.5955%, 44.4834%]
464	39.87068966%	[35.5163%, 44.3914%]
465	39.78494624%	[35.4374%, 44.2999%]
466	39.91416309%	[35.5677%, 44.4255%]
467	39.82869379%	[35.4891%, 44.3343%]
468	39.74358974%	[35.4107%, 44.2434%]
469	39.65884861%	[35.3328%, 44.1529%]
470	39.57446809%	[35.2552%, 44.0628%]
471	39.70276008%	[35.3845%, 44.1877%]
472	39.83050847%	[35.5133%, 44.3120%]
473	39.74630021%	[35.4357%, 44.2221%]
474	39.66244726%	[35.3586%, 44.1326%]
475	39.57894737%	[35.2817%, 44.0434%]
476	39.49579832%	[35.2052%, 43.9546%]
477	39.41299790%	[35.1290%, 43.8661%]
478	39.53974895%	[35.2567%, 43.9896%]
479	39.45720251%	[35.1807%, 43.9014%]
480	39.37500000%	[35.1051%, 43.8136%]
481	39.50103950%	[35.2321%, 43.9364%]
482	39.62655602%	[35.3585%, 44.0586%]
483	39.54451346%	[35.2830%, 43.9711%]
484	39.46280992%	[35.2077%, 43.8838%]
485	39.58762887%	[35.3335%, 44.0054%]
486	39.71193416%	[35.4588%, 44.1264%]
487	39.63039014%	[35.3836%, 44.0394%]
488	39.54918033%	[35.3088%, 43.9528%]
489	39.46830266%	[35.2343%, 43.8665%]
490	39.38775510%	[35.1601%, 43.7805%]
491	39.30753564%	[35.0863%, 43.6948%]
492	39.22764228%	[35.0127%, 43.6095%]
493	39.35091278%	[35.1368%, 43.7297%]
494	39.47368421%	[35.2605%, 43.8493%]
495	39.39393939%	[35.1870%, 43.7642%]
496	39.31451613%	[35.1138%, 43.6795%]
497	39.23541247%	[35.0409%, 43.5950%]
498	39.15662651%	[34.9684%, 43.5109%]
499	39.07815631%	[34.8961%, 43.4271%]
500	39.00000000%	[34.8241%, 43.3436%]
501	38.92215569%	[34.7525%, 43.2604%]
502	38.84462151%	[34.6811%, 43.1776%]
503	38.76739563%	[34.6100%, 43.0951%]
504	38.69047619%	[34.5392%, 43.0128%]
505	38.81188119%	[34.6613%, 43.1314%]
506	38.93280632%	[34.7829%, 43.2495%]
507	39.05325444%	[34.9041%, 43.3670%]
508	39.17322835%	[35.0249%, 43.4841%]
509	39.09626719%	[34.9539%, 43.4020%]
510	39.01960784%	[34.8833%, 43.3201%]
511	39.13894325%	[35.0033%, 43.4366%]
512	39.25781250%	[35.1230%, 43.5526%]
513	39.18128655%	[35.0524%, 43.4710%]
514	39.10505837%	[34.9821%, 43.3896%]
515	39.02912621%	[34.9121%, 43.3086%]
516	38.95348837%	[34.8424%, 43.2279%]
517	39.07156673%	[34.9612%, 43.3432%]
518	38.99613900%	[34.8916%, 43.2627%]
519	39.11368015%	[35.0099%, 43.3774%]
520	39.23076923%	[35.1278%, 43.4917%]
521	39.34740883%	[35.2452%, 43.6055%]
522	39.27203065%	[35.1756%, 43.5252%]
523	39.38814532%	[35.2926%, 43.6385%]
524	39.31297710%	[35.2231%, 43.5584%]
525	39.42857143%	[35.3396%, 43.6712%]
526	39.35361217%	[35.2703%, 43.5913%]
527	39.46869070%	[35.3862%, 43.7036%]
528	39.39393939%	[35.3171%, 43.6239%]
529	39.31947070%	[35.2483%, 43.5446%]
530	39.24528302%	[35.1798%, 43.4655%]
531	39.35969868%	[35.2950%, 43.5772%]
532	39.47368421%	[35.4098%, 43.6885%]
533	39.58724203%	[35.5243%, 43.7992%]
534	39.51310861%	[35.4557%, 43.7203%]
535	39.62616822%	[35.5696%, 43.8306%]
536	39.55223881%	[35.5012%, 43.7519%]
537	39.66480447%	[35.6147%, 43.8618%]
538	39.59107807%	[35.5465%, 43.7833%]
539	39.51762523%	[35.4785%, 43.7051%]
540	39.44444444%	[35.4108%, 43.6272%]
541	39.37153420%	[35.3433%, 43.5496%]
542	39.29889299%	[35.2762%, 43.4722%]
543	39.22651934%	[35.2092%, 43.3952%]
544	39.33823529%	[35.3217%, 43.5043%]
545	39.26605505%	[35.2550%, 43.4274%]
546	39.19413919%	[35.1884%, 43.3508%]
547	39.30530165%	[35.3004%, 43.4594%]
548	39.41605839%	[35.4119%, 43.5675%]
549	39.52641166%	[35.5231%, 43.6753%]
550	39.45454545%	[35.4566%, 43.5988%]
551	39.38294011%	[35.3903%, 43.5226%]
552	39.49275362%	[35.5009%, 43.6298%]
553	39.60216998%	[35.6112%, 43.7367%]
554	39.53068592%	[35.5449%, 43.6606%]
555	39.45945946%	[35.4790%, 43.5849%]
556	39.38848921%	[35.4132%, 43.5094%]
557	39.49730700%	[35.5229%, 43.6156%]
558	39.60573477%	[35.6321%, 43.7215%]
559	39.53488372%	[35.5665%, 43.6462%]
560	39.46428571%	[35.5010%, 43.5711%]
561	39.39393939%	[35.4359%, 43.4963%]
562	39.32384342%	[35.3709%, 43.4217%]
563	39.25399645%	[35.3062%, 43.3474%]
564	39.36170213%	[35.4147%, 43.4526%]
565	39.46902655%	[35.5228%, 43.5575%]
566	39.57597173%	[35.6306%, 43.6619%]
567	39.50617284%	[35.5659%, 43.5877%]
568	39.61267606%	[35.6732%, 43.6917%]
569	39.54305800%	[35.6086%, 43.6178%]
570	39.47368421%	[35.5443%, 43.5440%]
571	39.57968476%	[35.6511%, 43.6475%]
572	39.68531469%	[35.7576%, 43.7507%]
573	39.79057592%	[35.8637%, 43.8535%]
574	39.89547038%	[35.9694%, 43.9558%]
575	39.82608696%	[35.9050%, 43.8822%]
576	39.93055556%	[36.0104%, 43.9842%]
577	40.03466205%	[36.1154%, 44.0857%]
578	39.96539792%	[36.0510%, 44.0123%]
579	39.89637306%	[35.9869%, 43.9390%]
580	39.82758621%	[35.9230%, 43.8660%]
581	39.75903614%	[35.8594%, 43.7932%]
