
task	acc_norm	95% confidence interval
102	64.70588235%	[55.0523%, 73.2920%]
103	64.07766990%	[54.4601%, 72.6829%]
104	63.46153846%	[53.8810%, 72.0830%]
105	62.85714286%	[53.3145%, 71.4922%]
106	63.20754717%	[53.7154%, 71.7758%]
107	62.61682243%	[53.1619%, 71.1972%]
108	62.03703704%	[52.6201%, 70.6271%]
109	61.46788991%	[52.0896%, 70.0654%]
110	61.81818182%	[52.4860%, 70.3528%]
111	61.26126126%	[51.9669%, 69.8023%]
112	61.60714286%	[52.3575%, 70.0870%]
113	61.06194690%	[51.8494%, 69.5472%]
114	60.52631579%	[51.3513%, 69.0151%]
115	60.86956522%	[51.7367%, 69.2997%]
116	61.20689655%	[52.1161%, 69.5792%]
117	61.53846154%	[52.4898%, 69.8536%]
118	61.01694915%	[52.0027%, 69.3365%]
119	61.34453782%	[52.3712%, 69.6084%]
120	60.83333333%	[51.8938%, 69.1008%]
121	61.15702479%	[52.2572%, 69.3703%]
122	61.47540984%	[52.6152%, 69.6350%]
123	61.78861789%	[52.9680%, 69.8952%]
124	62.09677419%	[53.3156%, 70.1509%]
125	62.40000000%	[53.6583%, 70.4023%]
126	61.90476190%	[53.1922%, 69.9129%]
127	62.20472441%	[53.5305%, 70.1623%]
128	61.71875000%	[53.0732%, 69.6814%]
129	61.24031008%	[52.6239%, 69.2066%]
130	61.53846154%	[52.9585%, 69.4561%]
131	61.83206107%	[53.2885%, 69.7015%]
132	62.12121212%	[53.6139%, 69.9430%]
133	62.40601504%	[53.9348%, 70.1807%]
134	61.94029851%	[53.4953%, 69.7198%]
135	62.22222222%	[53.8124%, 69.9557%]
136	62.50000000%	[54.1254%, 70.1879%]
137	62.77372263%	[54.4342%, 70.4165%]
138	62.31884058%	[54.0035%, 69.9670%]
139	61.87050360%	[53.5797%, 69.5228%]
140	62.14285714%	[53.8855%, 69.7516%]
141	61.70212766%	[53.4691%, 69.3145%]
142	61.26760563%	[53.0592%, 68.8824%]
143	60.83916084%	[52.6557%, 68.4555%]
144	60.41666667%	[52.2585%, 68.0335%]
145	60.68965517%	[52.5620%, 68.2655%]
146	60.27397260%	[52.1712%, 67.8499%]
147	60.54421769%	[52.4713%, 68.0800%]
148	60.13513514%	[52.0868%, 67.6707%]
149	60.40268456%	[52.3835%, 67.8990%]
150	60.66666667%	[52.6766%, 68.1240%]
151	60.26490066%	[52.2984%, 67.7221%]
152	59.86842105%	[51.9256%, 67.3247%]
153	60.13071895%	[52.2158%, 67.5494%]
154	59.74025974%	[51.8487%, 67.1577%]
155	60.00000000%	[52.1358%, 67.3805%]
156	60.25641026%	[52.4195%, 67.6004%]
157	60.50955414%	[52.6999%, 67.8172%]
158	60.12658228%	[52.3388%, 67.4336%]
159	60.37735849%	[52.6162%, 67.6489%]
160	60.62500000%	[52.8905%, 67.8612%]
161	60.86956522%	[53.1617%, 68.0708%]
162	60.49382716%	[52.8065%, 67.6950%]
163	60.12269939%	[52.4562%, 67.3231%]
164	60.36585366%	[52.7249%, 67.5324%]
165	60.60606061%	[52.9906%, 67.7389%]
166	60.24096386%	[52.6455%, 67.3732%]
167	60.47904192%	[52.9086%, 67.5783%]
168	60.71428571%	[53.1688%, 67.7808%]
169	60.94674556%	[53.4261%, 67.9808%]
170	61.17647059%	[53.6807%, 68.1783%]
171	61.40350877%	[53.9326%, 68.3733%]
172	61.04651163%	[53.5935%, 68.0168%]
173	61.27167630%	[53.8431%, 68.2106%]
174	61.49425287%	[54.0899%, 68.4020%]
175	61.71428571%	[54.3342%, 68.5911%]
176	61.93181818%	[54.5759%, 68.7780%]
177	62.14689266%	[54.8151%, 68.9626%]
178	62.35955056%	[55.0519%, 69.1450%]
179	62.56983240%	[55.2862%, 69.3253%]
180	62.22222222%	[54.9538%, 68.9799%]
181	62.43093923%	[55.1861%, 69.1591%]
182	62.08791209%	[54.8582%, 68.8179%]
183	61.74863388%	[54.5342%, 68.4799%]
184	61.95652174%	[54.7649%, 68.6591%]
185	61.62162162%	[54.4452%, 68.3252%]
186	61.82795699%	[54.6738%, 68.5034%]
187	61.49732620%	[54.3583%, 68.1735%]
188	61.70212766%	[54.5850%, 68.3506%]
189	61.90476190%	[54.8095%, 68.5257%]
190	61.57894737%	[54.4982%, 68.2007%]
191	61.78010471%	[54.7209%, 68.3748%]
192	61.45833333%	[54.4135%, 68.0536%]
193	61.13989637%	[54.1097%, 67.7353%]
194	61.34020619%	[54.3308%, 67.9092%]
195	61.53846154%	[54.5498%, 68.0813%]
196	61.73469388%	[54.7667%, 68.2515%]
197	61.92893401%	[54.9816%, 68.4200%]
198	61.61616162%	[54.6823%, 68.1078%]
199	61.80904523%	[54.8955%, 68.2753%]
200	61.50000000%	[54.5999%, 67.9667%]
201	61.19402985%	[54.3075%, 67.6607%]
202	61.38613861%	[54.5192%, 67.8281%]
203	61.57635468%	[54.7291%, 67.9937%]
204	61.27450980%	[54.4404%, 67.6919%]
205	60.97560976%	[54.1548%, 67.3927%]
206	61.16504854%	[54.3632%, 67.5581%]
207	60.86956522%	[54.0809%, 67.2621%]
208	61.05769231%	[54.2878%, 67.4266%]
209	61.24401914%	[54.4928%, 67.5894%]
210	61.42857143%	[54.6959%, 67.7506%]
211	61.61137441%	[54.8973%, 67.9102%]
212	61.79245283%	[55.0970%, 68.0682%]
213	61.97183099%	[55.2949%, 68.2246%]
214	62.14953271%	[55.4910%, 68.3795%]
215	61.86046512%	[55.2135%, 68.0911%]
216	62.03703704%	[55.4082%, 68.2452%]
217	61.75115207%	[55.1338%, 67.9597%]
218	61.92660550%	[55.3271%, 68.1131%]
219	62.10045662%	[55.5188%, 68.2649%]
220	62.27272727%	[55.7089%, 68.4153%]
221	62.44343891%	[55.8974%, 68.5643%]
222	62.16216216%	[55.6267%, 68.2838%]
223	62.33183857%	[55.8139%, 68.4321%]
224	62.05357143%	[55.5462%, 68.1545%]
225	62.22222222%	[55.7321%, 68.3020%]
226	62.38938053%	[55.9164%, 68.4482%]
227	62.55506608%	[56.0993%, 68.5930%]
228	62.28070175%	[55.8350%, 68.3195%]
229	62.44541485%	[56.0166%, 68.4636%]
230	62.60869565%	[56.1967%, 68.6064%]
231	62.33766234%	[55.9354%, 68.3362%]
232	62.50000000%	[56.1144%, 68.4784%]
233	62.23175966%	[55.8559%, 68.2109%]
234	61.96581197%	[55.5998%, 67.9453%]
235	62.12765957%	[55.7778%, 68.0874%]
236	61.86440678%	[55.5243%, 67.8244%]
237	61.60337553%	[55.2732%, 67.5634%]
238	61.34453782%	[55.0244%, 67.3043%]
239	61.08786611%	[54.7779%, 67.0470%]
240	60.83333333%	[54.5336%, 66.7917%]
241	60.58091286%	[54.2916%, 66.5382%]
242	60.74380165%	[54.4695%, 66.6824%]
243	60.49382716%	[54.2298%, 66.4313%]
244	60.65573770%	[54.4065%, 66.5747%]
245	60.40816327%	[54.1691%, 66.3259%]
246	60.16260163%	[53.9338%, 66.0789%]
247	60.32388664%	[54.1095%, 66.2221%]
248	60.08064516%	[53.8765%, 65.9773%]
249	59.83935743%	[53.6455%, 65.7342%]
250	60.00000000%	[53.8202%, 65.8772%]
251	60.15936255%	[53.9935%, 66.0189%]
252	60.31746032%	[54.1656%, 66.1595%]
253	60.47430830%	[54.3364%, 66.2989%]
254	60.62992126%	[54.5060%, 66.4371%]
255	60.39215686%	[54.2778%, 66.1981%]
256	60.15625000%	[54.0515%, 65.9607%]
257	60.31128405%	[54.2201%, 66.0987%]
258	60.07751938%	[53.9959%, 65.8634%]
259	59.84555985%	[53.7736%, 65.6297%]
260	59.61538462%	[53.5532%, 65.3976%]
261	59.38697318%	[53.3345%, 65.1671%]
262	59.16030534%	[53.1177%, 64.9381%]
263	58.93536122%	[52.9027%, 64.7107%]
264	59.09090909%	[53.0709%, 64.8501%]
265	58.86792453%	[52.8578%, 64.6246%]
266	59.02255639%	[53.0249%, 64.7633%]
267	59.17602996%	[53.1909%, 64.9009%]
268	58.95522388%	[52.9797%, 64.6777%]
269	59.10780669%	[53.1446%, 64.8146%]
270	59.25925926%	[53.3083%, 64.9504%]
271	59.40959410%	[53.4710%, 65.0852%]
272	59.55882353%	[53.6325%, 65.2189%]
273	59.34065934%	[53.4235%, 64.9986%]
274	59.48905109%	[53.5840%, 65.1317%]
275	59.63636364%	[53.7434%, 65.2638%]
276	59.78260870%	[53.9018%, 65.3948%]
277	59.56678700%	[53.6947%, 65.1771%]
278	59.35251799%	[53.4893%, 64.9608%]
279	59.49820789%	[53.6468%, 65.0916%]
280	59.64285714%	[53.8033%, 65.2214%]
281	59.78647687%	[53.9587%, 65.3502%]
282	59.57446809%	[53.7552%, 65.1363%]
283	59.71731449%	[53.9098%, 65.2646%]
284	59.85915493%	[54.0633%, 65.3919%]
285	59.64912281%	[53.8615%, 65.1800%]
286	59.44055944%	[53.6614%, 64.9695%]
287	59.58188153%	[53.8141%, 65.0966%]
288	59.72222222%	[53.9658%, 65.2227%]
289	59.51557093%	[53.7674%, 65.0141%]
290	59.65517241%	[53.9182%, 65.1397%]
291	59.79381443%	[54.0681%, 65.2643%]
292	59.93150685%	[54.2170%, 65.3881%]
293	60.06825939%	[54.3650%, 65.5109%]
294	60.20408163%	[54.5120%, 65.6329%]
295	60.00000000%	[54.3156%, 65.4273%]
296	60.13513514%	[54.4618%, 65.5487%]
297	60.26936027%	[54.6071%, 65.6693%]
298	60.40268456%	[54.7515%, 65.7891%]
299	60.53511706%	[54.8950%, 65.9080%]
300	60.66666667%	[55.0375%, 66.0261%]
301	60.46511628%	[54.8432%, 65.8233%]
302	60.59602649%	[54.9850%, 65.9409%]
303	60.39603960%	[54.7921%, 65.7397%]
304	60.52631579%	[54.9332%, 65.8568%]
305	60.65573770%	[55.0733%, 65.9731%]
306	60.78431373%	[55.2127%, 66.0886%]
307	60.58631922%	[55.0215%, 65.8894%]
308	60.38961039%	[54.8318%, 65.6915%]
309	60.51779935%	[54.9705%, 65.8068%]
310	60.32258065%	[54.7822%, 65.6103%]
311	60.45016077%	[54.9202%, 65.7251%]
312	60.57692308%	[55.0573%, 65.8392%]
313	60.70287540%	[55.1937%, 65.9526%]
314	60.82802548%	[55.3292%, 66.0651%]
315	60.95238095%	[55.4639%, 66.1770%]
316	61.07594937%	[55.5978%, 66.2881%]
317	61.19873817%	[55.7309%, 66.3984%]
318	61.32075472%	[55.8632%, 66.5081%]
319	61.44200627%	[55.9947%, 66.6170%]
320	61.56250000%	[56.1255%, 66.7252%]
321	61.68224299%	[56.2555%, 66.8327%]
322	61.80124224%	[56.3847%, 66.9395%]
323	61.91950464%	[56.5132%, 67.0456%]
324	61.72839506%	[56.3278%, 66.8541%]
325	61.84615385%	[56.4557%, 66.9598%]
326	61.96319018%	[56.5828%, 67.0649%]
327	62.07951070%	[56.7092%, 67.1693%]
328	62.19512195%	[56.8349%, 67.2730%]
329	62.00607903%	[56.6513%, 67.0837%]
330	61.81818182%	[56.4689%, 66.8955%]
331	61.63141994%	[56.2877%, 66.7082%]
332	61.74698795%	[56.4131%, 66.8122%]
333	61.56156156%	[56.2332%, 66.6262%]
334	61.67664671%	[56.3580%, 66.7298%]
335	61.79104478%	[56.4820%, 66.8327%]
336	61.90476190%	[56.6054%, 66.9350%]
337	62.01780415%	[56.7281%, 67.0367%]
338	61.83431953%	[56.5499%, 66.8528%]
339	61.94690265%	[56.6720%, 66.9541%]
340	62.05882353%	[56.7934%, 67.0548%]
341	61.87683284%	[56.6166%, 66.8725%]
342	61.69590643%	[56.4409%, 66.6911%]
343	61.80758017%	[56.5619%, 66.7917%]
344	61.91860465%	[56.6823%, 66.8917%]
345	62.02898551%	[56.8020%, 66.9911%]
346	61.84971098%	[56.6278%, 66.8114%]
347	61.95965418%	[56.7470%, 66.9105%]
348	62.06896552%	[56.8655%, 67.0089%]
349	62.17765043%	[56.9833%, 67.1068%]
350	62.00000000%	[56.8106%, 66.9288%]
351	61.82336182%	[56.6389%, 66.7518%]
352	61.93181818%	[56.7564%, 66.8496%]
353	61.75637394%	[56.5859%, 66.6737%]
354	61.58192090%	[56.4164%, 66.4987%]
355	61.69014085%	[56.5335%, 66.5965%]
356	61.79775281%	[56.6500%, 66.6936%]
357	61.62464986%	[56.4818%, 66.5200%]
358	61.73184358%	[56.5978%, 66.6168%]
359	61.83844011%	[56.7131%, 66.7131%]
360	61.94444444%	[56.8279%, 66.8088%]
361	61.77285319%	[56.6610%, 66.6368%]
362	61.60220994%	[56.4952%, 66.4656%]
363	61.70798898%	[56.6096%, 66.5612%]
364	61.53846154%	[56.4448%, 66.3911%]
365	61.64383562%	[56.5587%, 66.4864%]
366	61.74863388%	[56.6720%, 66.5812%]
367	61.85286104%	[56.7847%, 66.6754%]
368	61.95652174%	[56.8968%, 66.7692%]
369	61.78861789%	[56.7335%, 66.6008%]
370	61.89189189%	[56.8452%, 66.6942%]
371	61.72506739%	[56.6829%, 66.5269%]
372	61.55913978%	[56.5216%, 66.3604%]
373	61.39410188%	[56.3612%, 66.1947%]
374	61.49732620%	[56.4726%, 66.2883%]
375	61.33333333%	[56.3132%, 66.1236%]
376	61.43617021%	[56.4242%, 66.2168%]
377	61.53846154%	[56.5346%, 66.3096%]
378	61.37566138%	[56.3763%, 66.1461%]
379	61.21372032%	[56.2190%, 65.9834%]
380	61.31578947%	[56.3290%, 66.0761%]
381	61.15485564%	[56.1727%, 65.9144%]
382	60.99476440%	[56.0172%, 65.7534%]
383	61.09660574%	[56.1269%, 65.8460%]
384	61.19791667%	[56.2360%, 65.9380%]
385	61.29870130%	[56.3446%, 66.0295%]
386	61.39896373%	[56.4527%, 66.1206%]
387	61.24031008%	[56.2985%, 65.9612%]
388	61.34020619%	[56.4061%, 66.0520%]
389	61.43958869%	[56.5132%, 66.1422%]
390	61.53846154%	[56.6198%, 66.2320%]
391	61.38107417%	[56.4667%, 66.0740%]
392	61.47959184%	[56.5729%, 66.1635%]
393	61.32315522%	[56.4207%, 66.0064%]
394	61.42131980%	[56.5265%, 66.0956%]
395	61.51898734%	[56.6317%, 66.1844%]
396	61.61616162%	[56.7365%, 66.2727%]
397	61.46095718%	[56.5854%, 66.1168%]
398	61.30653266%	[56.4352%, 65.9617%]
399	61.40350877%	[56.5396%, 66.0499%]
400	61.50000000%	[56.6435%, 66.1377%]
401	61.59600998%	[56.7470%, 66.2250%]
402	61.69154229%	[56.8499%, 66.3118%]
403	61.78660050%	[56.9524%, 66.3982%]
404	61.63366337%	[56.8034%, 66.2448%]
405	61.72839506%	[56.9055%, 66.3309%]
406	61.57635468%	[56.7574%, 66.1783%]
407	61.67076167%	[56.8591%, 66.2642%]
408	61.76470588%	[56.9603%, 66.3496%]
409	61.61369193%	[56.8132%, 66.1981%]
410	61.70731707%	[56.9140%, 66.2833%]
411	61.80048662%	[57.0144%, 66.3680%]
412	61.65048544%	[56.8682%, 66.2175%]
413	61.74334140%	[56.9682%, 66.3020%]
414	61.59420290%	[56.8229%, 66.1523%]
415	61.68674699%	[56.9225%, 66.2366%]
416	61.77884615%	[57.0217%, 66.3204%]
417	61.87050360%	[57.1204%, 66.4039%]
418	61.96172249%	[57.2187%, 66.4869%]
419	62.05250597%	[57.3165%, 66.5695%]
420	62.14285714%	[57.4139%, 66.6517%]
421	61.99524941%	[57.2699%, 66.5037%]
422	62.08530806%	[57.3669%, 66.5857%]
423	62.17494090%	[57.4635%, 66.6673%]
424	62.02830189%	[57.3204%, 66.5202%]
425	62.11764706%	[57.4166%, 66.6016%]
426	62.20657277%	[57.5124%, 66.6825%]
427	62.29508197%	[57.6078%, 66.7631%]
428	62.38317757%	[57.7028%, 66.8432%]
429	62.23776224%	[57.5608%, 66.6975%]
430	62.09302326%	[57.4195%, 66.5524%]
431	61.94895592%	[57.2788%, 66.4080%]
432	62.03703704%	[57.3736%, 66.4882%]
433	62.12471132%	[57.4680%, 66.5681%]
434	62.21198157%	[57.5620%, 66.6476%]
435	62.06896552%	[57.4224%, 66.5043%]
436	61.92660550%	[57.2834%, 66.3615%]
437	62.01372998%	[57.3771%, 66.4409%]
438	62.10045662%	[57.4705%, 66.5200%]
439	61.95899772%	[57.3324%, 66.3782%]
440	61.81818182%	[57.1949%, 66.2369%]
441	61.67800454%	[57.0582%, 66.0962%]
442	61.76470588%	[57.1513%, 66.1753%]
443	61.62528217%	[57.0153%, 66.0354%]
444	61.71171171%	[57.1082%, 66.1143%]
445	61.79775281%	[57.2006%, 66.1929%]
446	61.65919283%	[57.0654%, 66.0538%]
447	61.74496644%	[57.1575%, 66.1322%]
448	61.83035714%	[57.2493%, 66.2103%]
449	61.91536748%	[57.3407%, 66.2879%]
450	61.77777778%	[57.2063%, 66.1498%]
451	61.86252772%	[57.2974%, 66.2273%]
452	61.94690265%	[57.3881%, 66.3044%]
453	62.03090508%	[57.4783%, 66.3811%]
454	62.11453744%	[57.5682%, 66.4575%]
455	62.19780220%	[57.6578%, 66.5336%]
456	62.28070175%	[57.7469%, 66.6093%]
457	62.14442013%	[57.6137%, 66.4727%]
458	62.22707424%	[57.7026%, 66.5482%]
459	62.30936819%	[57.7911%, 66.6233%]
460	62.17391304%	[57.6586%, 66.4875%]
461	62.03904555%	[57.5268%, 66.3523%]
462	62.12121212%	[57.6151%, 66.4274%]
463	61.98704104%	[57.4840%, 66.2928%]
464	61.85344828%	[57.3535%, 66.1588%]
465	61.93548387%	[57.4415%, 66.2338%]
466	62.01716738%	[57.5293%, 66.3086%]
467	62.09850107%	[57.6166%, 66.3830%]
468	62.17948718%	[57.7036%, 66.4570%]
469	62.26012793%	[57.7903%, 66.5308%]
470	62.12765957%	[57.6607%, 66.3980%]
471	62.20806794%	[57.7471%, 66.4715%]
472	62.28813559%	[57.8331%, 66.5448%]
473	62.36786469%	[57.9188%, 66.6177%]
474	62.44725738%	[58.0041%, 66.6903%]
475	62.52631579%	[58.0891%, 66.7626%]
476	62.39495798%	[57.9605%, 66.6309%]
477	62.47379455%	[58.0452%, 66.7031%]
478	62.55230126%	[58.1296%, 66.7748%]
479	62.42171190%	[58.0018%, 66.6440%]
480	62.29166667%	[57.8745%, 66.5137%]
481	62.37006237%	[57.9587%, 66.5854%]
482	62.24066390%	[57.8321%, 66.4557%]
483	62.31884058%	[57.9160%, 66.5273%]
484	62.39669421%	[57.9996%, 66.5985%]
485	62.47422680%	[58.0829%, 66.6695%]
486	62.55144033%	[58.1658%, 66.7402%]
487	62.42299795%	[58.0401%, 66.6115%]
488	62.29508197%	[57.9148%, 66.4833%]
489	62.37218814%	[57.9976%, 66.5539%]
490	62.24489796%	[57.8730%, 66.4263%]
491	62.11812627%	[57.7490%, 66.2991%]
492	62.19512195%	[57.8316%, 66.3697%]
493	62.06896552%	[57.7081%, 66.2432%]
494	62.14574899%	[57.7904%, 66.3136%]
495	62.22222222%	[57.8725%, 66.3837%]
496	62.29838710%	[57.9542%, 66.4536%]
497	62.17303823%	[57.8315%, 66.3279%]
498	62.24899598%	[57.9129%, 66.3975%]
499	62.32464930%	[57.9941%, 66.4669%]
500	62.40000000%	[58.0749%, 66.5360%]
501	62.27544910%	[57.9530%, 66.4111%]
502	62.15139442%	[57.8315%, 66.2867%]
503	62.02783300%	[57.7106%, 66.1628%]
504	62.10317460%	[57.7913%, 66.2319%]
505	62.17821782%	[57.8717%, 66.3008%]
506	62.05533597%	[57.7515%, 66.1776%]
507	62.13017751%	[57.8316%, 66.2463%]
508	62.20472441%	[57.9115%, 66.3147%]
509	62.08251473%	[57.7919%, 66.1921%]
510	61.96078431%	[57.6727%, 66.0700%]
511	62.03522505%	[57.7525%, 66.1384%]
512	62.10937500%	[57.8319%, 66.2065%]
513	61.98830409%	[57.7134%, 66.0850%]
514	61.86770428%	[57.5954%, 65.9640%]
515	61.94174757%	[57.6746%, 66.0321%]
516	61.82170543%	[57.5571%, 65.9116%]
517	61.89555126%	[57.6362%, 65.9795%]
518	61.96911197%	[57.7149%, 66.0471%]
519	62.04238921%	[57.7933%, 66.1145%]
520	62.11538462%	[57.8715%, 66.1816%]
521	62.18809981%	[57.9493%, 66.2485%]
522	62.06896552%	[57.8327%, 66.1289%]
523	62.14149140%	[57.9103%, 66.1956%]
524	62.02290076%	[57.7942%, 66.0766%]
525	62.09523810%	[57.8716%, 66.1432%]
526	61.97718631%	[57.7560%, 66.0247%]
527	62.04933586%	[57.8332%, 66.0911%]
528	62.12121212%	[57.9101%, 66.1572%]
529	62.00378072%	[57.7951%, 66.0394%]
530	61.88679245%	[57.6805%, 65.9220%]
531	61.95856874%	[57.7573%, 65.9881%]
532	62.03007519%	[57.8338%, 66.0539%]
533	62.10131332%	[57.9100%, 66.1194%]
534	62.17228464%	[57.9859%, 66.1848%]
535	62.24299065%	[58.0616%, 66.2498%]
536	62.31343284%	[58.1370%, 66.3146%]
537	62.38361266%	[58.2121%, 66.3792%]
538	62.45353160%	[58.2870%, 66.4435%]
539	62.33766234%	[58.1734%, 66.3273%]
540	62.22222222%	[58.0602%, 66.2116%]
541	62.29205176%	[58.1349%, 66.2759%]
542	62.17712177%	[58.0223%, 66.1606%]
543	62.06261510%	[57.9101%, 66.0457%]
544	62.13235294%	[57.9846%, 66.1099%]
545	62.20183486%	[58.0589%, 66.1739%]
546	62.08791209%	[57.9473%, 66.0596%]
547	62.15722121%	[58.0214%, 66.1235%]
548	62.22627737%	[58.0952%, 66.1871%]
549	62.11293260%	[57.9841%, 66.0734%]
550	62.18181818%	[58.0578%, 66.1369%]
551	62.06896552%	[57.9472%, 66.0236%]
552	62.13768116%	[58.0206%, 66.0870%]
553	62.20614828%	[58.0938%, 66.1501%]
554	62.09386282%	[57.9837%, 66.0374%]
555	62.16216216%	[58.0567%, 66.1004%]
556	62.05035971%	[57.9471%, 65.9882%]
557	62.11849192%	[58.0199%, 66.0510%]
558	62.18637993%	[58.0925%, 66.1136%]
559	62.07513417%	[57.9834%, 66.0020%]
560	61.96428571%	[57.8748%, 65.8908%]
561	62.03208556%	[57.9472%, 65.9533%]
562	62.09964413%	[58.0194%, 66.0156%]
563	61.98934281%	[57.9112%, 65.9049%]
564	62.05673759%	[57.9832%, 65.9671%]
565	62.12389381%	[58.0549%, 66.0291%]
566	62.19081272%	[58.1264%, 66.0909%]
567	62.25749559%	[58.1976%, 66.1524%]
568	62.32394366%	[58.2686%, 66.2137%]
569	62.21441125%	[58.1612%, 66.1038%]
570	62.10526316%	[58.0542%, 65.9943%]
571	62.17162872%	[58.1250%, 66.0555%]
572	62.23776224%	[58.1957%, 66.1166%]
573	62.30366492%	[58.2661%, 66.1774%]
574	62.36933798%	[58.3362%, 66.2380%]
575	62.43478261%	[58.4061%, 66.2984%]
576	62.50000000%	[58.4758%, 66.3585%]
577	62.56499133%	[58.5453%, 66.4185%]
578	62.45674740%	[58.4390%, 66.3100%]
579	62.34887737%	[58.3332%, 66.2018%]
580	62.41379310%	[58.4025%, 66.2617%]
581	62.30636833%	[58.2971%, 66.1540%]
