
task	acc_norm	95% confidence interval
205	64.87804878%	[58.1245%, 71.0842%]
206	65.04854369%	[58.3158%, 71.2303%]
207	65.21739130%	[58.5053%, 71.3750%]
208	65.38461538%	[58.6932%, 71.5181%]
209	65.55023923%	[58.8793%, 71.6599%]
210	65.71428571%	[59.0638%, 71.8002%]
211	65.87677725%	[59.2467%, 71.9391%]
212	65.56603774%	[58.9441%, 71.6339%]
213	65.72769953%	[59.1258%, 71.7724%]
214	65.42056075%	[58.8268%, 71.4705%]
215	65.11627907%	[58.5309%, 71.1710%]
216	65.27777778%	[58.7118%, 71.3098%]
217	64.97695853%	[58.4194%, 71.0135%]
218	65.13761468%	[58.5992%, 71.1517%]
219	65.29680365%	[58.7775%, 71.2887%]
220	65.45454545%	[58.9543%, 71.4243%]
221	65.61085973%	[59.1296%, 71.5587%]
222	65.31531532%	[58.8418%, 71.2679%]
223	65.02242152%	[58.5568%, 70.9793%]
224	64.73214286%	[58.2747%, 70.6929%]
225	64.88888889%	[58.4496%, 70.8283%]
226	65.04424779%	[58.6232%, 70.9624%]
227	65.19823789%	[58.7953%, 71.0954%]
228	65.35087719%	[58.9660%, 71.2271%]
229	65.50218341%	[59.1353%, 71.3576%]
230	65.65217391%	[59.3032%, 71.4869%]
231	65.80086580%	[59.4698%, 71.6150%]
232	65.94827586%	[59.6350%, 71.7420%]
233	65.66523605%	[59.3586%, 71.4637%]
234	65.38461538%	[59.0849%, 71.1874%]
235	65.53191489%	[59.2496%, 71.3147%]
236	65.25423729%	[58.9788%, 71.0410%]
237	65.40084388%	[59.1425%, 71.1679%]
238	65.54621849%	[59.3049%, 71.2937%]
239	65.69037657%	[59.4660%, 71.4183%]
240	65.41666667%	[59.1989%, 71.1487%]
241	65.14522822%	[58.9342%, 70.8810%]
242	65.28925620%	[59.0948%, 71.0059%]
243	65.02057613%	[58.8329%, 70.7408%]
244	65.16393443%	[58.9925%, 70.8653%]
245	64.89795918%	[58.7333%, 70.6026%]
246	64.63414634%	[58.4764%, 70.3418%]
247	64.77732794%	[58.6356%, 70.4665%]
248	64.51612903%	[58.3813%, 70.2081%]
249	64.65863454%	[58.5395%, 70.3324%]
250	64.80000000%	[58.6965%, 70.4555%]
251	64.94023904%	[58.8524%, 70.5777%]
252	65.07936508%	[59.0070%, 70.6988%]
253	65.21739130%	[59.1606%, 70.8190%]
254	65.35433071%	[59.3130%, 70.9382%]
255	65.49019608%	[59.4643%, 71.0564%]
256	65.23437500%	[59.2144%, 70.8039%]
257	64.98054475%	[58.9667%, 70.5532%]
258	64.72868217%	[58.7211%, 70.3041%]
259	64.47876448%	[58.4776%, 70.0567%]
260	64.23076923%	[58.2362%, 69.8109%]
261	64.36781609%	[58.3878%, 69.9310%]
262	64.12213740%	[58.1487%, 69.6874%]
263	63.87832700%	[57.9116%, 69.4454%]
264	63.63636364%	[57.6765%, 69.2051%]
265	63.77358491%	[57.8278%, 69.3257%]
266	63.90977444%	[57.9781%, 69.4454%]
267	64.04494382%	[58.1273%, 69.5642%]
268	63.80597015%	[57.8949%, 69.3269%]
269	63.94052045%	[58.0433%, 69.4452%]
270	64.07407407%	[58.1907%, 69.5626%]
271	64.20664207%	[58.3370%, 69.6791%]
272	64.33823529%	[58.4824%, 69.7948%]
273	64.10256410%	[58.2528%, 69.5610%]
274	64.23357664%	[58.3974%, 69.6762%]
275	64.36363636%	[58.5410%, 69.7905%]
276	64.49275362%	[58.6836%, 69.9040%]
277	64.25992780%	[58.4566%, 69.6731%]
278	64.38848921%	[58.5985%, 69.7862%]
279	64.51612903%	[58.7394%, 69.8985%]
280	64.28571429%	[58.5147%, 69.6700%]
281	64.41281139%	[58.6550%, 69.7819%]
282	64.53900709%	[58.7943%, 69.8930%]
283	64.66431095%	[58.9326%, 70.0032%]
284	64.43661972%	[58.7104%, 69.7775%]
285	64.56140351%	[58.8481%, 69.8874%]
286	64.33566434%	[58.6278%, 69.6635%]
287	64.45993031%	[58.7649%, 69.7730%]
288	64.58333333%	[58.9010%, 69.8818%]
289	64.70588235%	[59.0362%, 69.9897%]
290	64.48275862%	[58.8183%, 69.7685%]
291	64.60481100%	[58.9529%, 69.8762%]
292	64.38356164%	[58.7369%, 69.6567%]
293	64.50511945%	[58.8708%, 69.7640%]
294	64.62585034%	[59.0039%, 69.8705%]
295	64.74576271%	[59.1361%, 69.9763%]
296	64.86486486%	[59.2675%, 70.0813%]
297	64.64646465%	[59.0540%, 69.8648%]
298	64.76510067%	[59.1848%, 69.9696%]
299	64.88294314%	[59.3148%, 70.0735%]
300	65.00000000%	[59.4439%, 70.1768%]
301	64.78405316%	[59.2327%, 69.9628%]
302	64.56953642%	[59.0230%, 69.7501%]
303	64.35643564%	[58.8148%, 69.5386%]
304	64.47368421%	[58.9438%, 69.6424%]
305	64.59016393%	[59.0719%, 69.7454%]
306	64.70588235%	[59.1993%, 69.8478%]
307	64.49511401%	[58.9933%, 69.6387%]
308	64.28571429%	[58.7887%, 69.4308%]
309	64.40129450%	[58.9157%, 69.5332%]
310	64.19354839%	[58.7128%, 69.3269%]
311	64.30868167%	[58.8392%, 69.4290%]
312	64.42307692%	[58.9649%, 69.5304%]
313	64.53674121%	[59.0899%, 69.6311%]
314	64.64968153%	[59.2140%, 69.7312%]
315	64.76190476%	[59.3375%, 69.8306%]
316	64.87341772%	[59.4602%, 69.9294%]
317	64.66876972%	[59.2599%, 69.7264%]
318	64.77987421%	[59.3820%, 69.8249%]
319	64.89028213%	[59.5035%, 69.9228%]
320	65.00000000%	[59.6242%, 70.0200%]
321	65.10903427%	[59.7442%, 70.1165%]
322	65.21739130%	[59.8635%, 70.2125%]
323	65.01547988%	[59.6656%, 70.0124%]
324	64.81481481%	[59.4690%, 69.8135%]
325	64.92307692%	[59.5880%, 69.9095%]
326	65.03067485%	[59.7063%, 70.0049%]
327	65.13761468%	[59.8239%, 70.0998%]
328	65.24390244%	[59.9409%, 70.1940%]
329	65.34954407%	[60.0572%, 70.2876%]
330	65.45454545%	[60.1728%, 70.3807%]
331	65.25679758%	[59.9787%, 70.1848%]
332	65.36144578%	[60.0938%, 70.2776%]
333	65.16516517%	[59.9012%, 70.0832%]
334	65.26946108%	[60.0159%, 70.1758%]
335	65.37313433%	[60.1300%, 70.2677%]
336	65.17857143%	[59.9390%, 70.0750%]
337	65.28189911%	[60.0526%, 70.1667%]
338	65.08875740%	[59.8631%, 69.9753%]
339	65.19174041%	[59.9762%, 70.0668%]
340	65.29411765%	[60.0887%, 70.1578%]
341	65.39589443%	[60.2006%, 70.2482%]
342	65.49707602%	[60.3119%, 70.3380%]
343	65.59766764%	[60.4225%, 70.4273%]
344	65.69767442%	[60.5325%, 70.5161%]
345	65.50724638%	[60.3454%, 70.3276%]
346	65.31791908%	[60.1594%, 70.1400%]
347	65.41786744%	[60.2692%, 70.2289%]
348	65.51724138%	[60.3784%, 70.3172%]
349	65.61604585%	[60.4870%, 70.4051%]
350	65.42857143%	[60.3028%, 70.2194%]
351	65.52706553%	[60.4110%, 70.3070%]
352	65.62500000%	[60.5186%, 70.3941%]
353	65.72237960%	[60.6256%, 70.4806%]
354	65.53672316%	[60.4431%, 70.2968%]
355	65.63380282%	[60.5497%, 70.3832%]
356	65.73033708%	[60.6558%, 70.4691%]
357	65.54621849%	[60.4747%, 70.2867%]
358	65.64245810%	[60.5804%, 70.3724%]
359	65.73816156%	[60.6855%, 70.4576%]
360	65.83333333%	[60.7901%, 70.5423%]
361	65.65096953%	[60.6106%, 70.3617%]
362	65.46961326%	[60.4323%, 70.1821%]
363	65.56473829%	[60.5367%, 70.2668%]
364	65.38461538%	[60.3596%, 70.0883%]
365	65.47945205%	[60.4636%, 70.1729%]
366	65.57377049%	[60.5670%, 70.2570%]
367	65.66757493%	[60.6699%, 70.3406%]
368	65.76086957%	[60.7723%, 70.4238%]
369	65.58265583%	[60.5970%, 70.2472%]
370	65.67567568%	[60.6990%, 70.3302%]
371	65.76819407%	[60.8005%, 70.4127%]
372	65.59139785%	[60.6265%, 70.2376%]
373	65.41554960%	[60.4535%, 70.0633%]
374	65.50802139%	[60.5548%, 70.1459%]
375	65.33333333%	[60.3830%, 69.9727%]
376	65.42553191%	[60.4840%, 70.0550%]
377	65.51724138%	[60.5845%, 70.1370%]
378	65.34391534%	[60.4140%, 69.9651%]
379	65.43535620%	[60.5141%, 70.0469%]
380	65.52631579%	[60.6137%, 70.1282%]
381	65.35433071%	[60.4445%, 69.9576%]
382	65.44502618%	[60.5438%, 70.0388%]
383	65.53524804%	[60.6425%, 70.1194%]
384	65.62500000%	[60.7408%, 70.1997%]
385	65.71428571%	[60.8386%, 70.2795%]
386	65.80310881%	[60.9359%, 70.3589%]
387	65.63307494%	[60.7684%, 70.1904%]
388	65.72164948%	[60.8654%, 70.2696%]
389	65.80976864%	[60.9619%, 70.3484%]
390	65.64102564%	[60.7957%, 70.1812%]
391	65.47314578%	[60.6305%, 70.0147%]
392	65.56122449%	[60.7268%, 70.0936%]
393	65.39440204%	[60.5626%, 69.9282%]
394	65.48223350%	[60.6586%, 70.0068%]
395	65.56962025%	[60.7542%, 70.0851%]
396	65.65656566%	[60.8493%, 70.1630%]
397	65.49118388%	[60.6864%, 69.9990%]
398	65.57788945%	[60.7812%, 70.0767%]
399	65.66416040%	[60.8756%, 70.1540%]
400	65.75000000%	[60.9695%, 70.2309%]
401	65.83541147%	[61.0629%, 70.3074%]
402	65.92039801%	[61.1559%, 70.3835%]
403	66.00496278%	[61.2485%, 70.4592%]
404	65.84158416%	[61.0874%, 70.2974%]
405	65.92592593%	[61.1796%, 70.3729%]
406	66.00985222%	[61.2715%, 70.4481%]
407	66.09336609%	[61.3629%, 70.5229%]
408	66.17647059%	[61.4538%, 70.5973%]
409	66.01466993%	[61.2942%, 70.4371%]
410	66.09756098%	[61.3849%, 70.5114%]
411	66.18004866%	[61.4752%, 70.5853%]
412	66.26213592%	[61.5650%, 70.6588%]
413	66.34382567%	[61.6545%, 70.7319%]
414	66.18357488%	[61.4963%, 70.5733%]
415	66.26506024%	[61.5854%, 70.6463%]
416	66.34615385%	[61.6742%, 70.7190%]
417	66.18705036%	[61.5171%, 70.5615%]
418	66.26794258%	[61.6056%, 70.6340%]
419	66.34844869%	[61.6937%, 70.7062%]
420	66.42857143%	[61.7814%, 70.7780%]
421	66.27078385%	[61.6255%, 70.6218%]
422	66.35071090%	[61.7130%, 70.6935%]
423	66.43026005%	[61.8000%, 70.7648%]
424	66.27358491%	[61.6453%, 70.6097%]
425	66.35294118%	[61.7320%, 70.6809%]
426	66.43192488%	[61.8184%, 70.7517%]
427	66.51053864%	[61.9045%, 70.8222%]
428	66.58878505%	[61.9901%, 70.8924%]
429	66.43356643%	[61.8367%, 70.7388%]
430	66.27906977%	[61.6840%, 70.5858%]
431	66.12529002%	[61.5322%, 70.4335%]
432	66.20370370%	[61.6178%, 70.5040%]
433	66.28175520%	[61.7031%, 70.5741%]
434	66.35944700%	[61.7880%, 70.6438%]
435	66.20689655%	[61.6373%, 70.4928%]
436	66.05504587%	[61.4873%, 70.3423%]
437	66.13272311%	[61.5721%, 70.4122%]
438	66.21004566%	[61.6565%, 70.4817%]
439	66.05922551%	[61.5076%, 70.3323%]
440	65.90909091%	[61.3594%, 70.1834%]
441	65.75963719%	[61.2119%, 70.0352%]
442	65.83710407%	[61.2963%, 70.1050%]
443	65.68848758%	[61.1497%, 69.9575%]
444	65.76576577%	[61.2339%, 70.0272%]
445	65.84269663%	[61.3177%, 70.0965%]
446	65.69506726%	[61.1720%, 69.9500%]
447	65.77181208%	[61.2556%, 70.0192%]
448	65.84821429%	[61.3389%, 70.0881%]
449	65.92427617%	[61.4217%, 70.1566%]
450	65.77777778%	[61.2771%, 70.0113%]
451	65.63192905%	[61.1332%, 69.8666%]
452	65.70796460%	[61.2160%, 69.9352%]
453	65.56291391%	[61.0729%, 69.7912%]
454	65.41850220%	[60.9305%, 69.6478%]
455	65.49450549%	[61.0131%, 69.7165%]
456	65.57017544%	[61.0954%, 69.7848%]
457	65.42669584%	[60.9539%, 69.6423%]
458	65.50218341%	[61.0360%, 69.7105%]
459	65.57734205%	[61.1177%, 69.7784%]
460	65.43478261%	[60.9771%, 69.6368%]
461	65.29284165%	[60.8371%, 69.4958%]
462	65.36796537%	[60.9187%, 69.5638%]
463	65.22678186%	[60.7795%, 69.4235%]
464	65.08620690%	[60.6410%, 69.2837%]
465	65.16129032%	[60.7225%, 69.3517%]
466	65.23605150%	[60.8036%, 69.4193%]
467	65.09635974%	[60.6659%, 69.2805%]
468	65.17094017%	[60.7468%, 69.3480%]
469	65.24520256%	[60.8274%, 69.4153%]
470	65.31914894%	[60.9077%, 69.4822%]
471	65.39278132%	[60.9876%, 69.5489%]
472	65.46610169%	[61.0673%, 69.6152%]
473	65.53911205%	[61.1465%, 69.6813%]
474	65.61181435%	[61.2255%, 69.7471%]
475	65.47368421%	[61.0892%, 69.6099%]
476	65.33613445%	[60.9535%, 69.4732%]
477	65.40880503%	[61.0324%, 69.5390%]
478	65.48117155%	[61.1109%, 69.6046%]
479	65.34446764%	[60.9760%, 69.4687%]
480	65.41666667%	[61.0544%, 69.5342%]
481	65.28066528%	[60.9202%, 69.3990%]
482	65.14522822%	[60.7866%, 69.2643%]
483	65.21739130%	[60.8649%, 69.3298%]
484	65.28925620%	[60.9428%, 69.3949%]
485	65.36082474%	[61.0204%, 69.4598%]
486	65.43209877%	[61.0977%, 69.5245%]
487	65.29774127%	[60.9651%, 69.3909%]
488	65.16393443%	[60.8331%, 69.2579%]
489	65.23517382%	[60.9103%, 69.3225%]
490	65.10204082%	[60.7790%, 69.1901%]
491	64.96945010%	[60.6483%, 69.0582%]
492	65.04065041%	[60.7254%, 69.1229%]
493	64.90872211%	[60.5953%, 68.9916%]
494	64.97975709%	[60.6722%, 69.0561%]
495	65.05050505%	[60.7488%, 69.1204%]
496	64.91935484%	[60.6195%, 68.9899%]
497	64.78873239%	[60.4908%, 68.8598%]
498	64.85943775%	[60.5672%, 68.9242%]
499	64.92985972%	[60.6434%, 68.9882%]
500	65.00000000%	[60.7193%, 69.0520%]
501	65.06986028%	[60.7949%, 69.1155%]
502	64.94023904%	[60.6671%, 68.9865%]
503	65.00994036%	[60.7425%, 69.0499%]
504	65.07936508%	[60.8176%, 69.1130%]
505	65.14851485%	[60.8924%, 69.1759%]
506	65.21739130%	[60.9669%, 69.2385%]
507	65.28599606%	[61.0412%, 69.3009%]
508	65.35433071%	[61.1152%, 69.3630%]
509	65.22593320%	[60.9884%, 69.2353%]
510	65.09803922%	[60.8622%, 69.1081%]
511	65.16634051%	[60.9361%, 69.1702%]
512	65.23437500%	[61.0097%, 69.2321%]
513	65.30214425%	[61.0831%, 69.2938%]
514	65.17509728%	[60.9577%, 69.1674%]
515	65.24271845%	[61.0308%, 69.2289%]
516	65.11627907%	[60.9060%, 69.1031%]
517	65.18375242%	[60.9790%, 69.1645%]
518	65.05791506%	[60.8548%, 69.0393%]
519	65.12524085%	[60.9276%, 69.1006%]
520	65.00000000%	[60.8040%, 68.9760%]
521	65.06717850%	[60.8766%, 69.0372%]
522	64.94252874%	[60.7536%, 68.9131%]
523	65.00956023%	[60.8261%, 68.9742%]
524	64.88549618%	[60.7037%, 68.8507%]
525	64.95238095%	[60.7759%, 68.9116%]
526	65.01901141%	[60.8479%, 68.9724%]
527	65.08538899%	[60.9196%, 69.0329%]
528	64.96212121%	[60.7979%, 68.9102%]
529	64.83931947%	[60.6768%, 68.7879%]
530	64.90566038%	[60.7484%, 68.8484%]
531	64.97175141%	[60.8198%, 68.9087%]
532	65.03759398%	[60.8908%, 68.9687%]
533	65.10318949%	[60.9617%, 69.0286%]
534	65.16853933%	[61.0323%, 69.0881%]
535	65.23364486%	[61.1026%, 69.1475%]
536	65.29850746%	[61.1727%, 69.2066%]
537	65.36312849%	[61.2425%, 69.2655%]
538	65.42750929%	[61.3121%, 69.3242%]
539	65.49165121%	[61.3814%, 69.3827%]
540	65.37037037%	[61.2616%, 69.2620%]
541	65.43438078%	[61.3307%, 69.3204%]
542	65.49815498%	[61.3996%, 69.3785%]
543	65.37753223%	[61.2805%, 69.2586%]
544	65.44117647%	[61.3492%, 69.3166%]
545	65.50458716%	[61.4177%, 69.3744%]
546	65.56776557%	[61.4860%, 69.4320%]
547	65.63071298%	[61.5540%, 69.4894%]
548	65.69343066%	[61.6218%, 69.5466%]
549	65.75591985%	[61.6894%, 69.6035%]
550	65.81818182%	[61.7567%, 69.6603%]
551	65.69872958%	[61.6385%, 69.5415%]
552	65.76086957%	[61.7057%, 69.5982%]
553	65.64195298%	[61.5881%, 69.4800%]
554	65.52346570%	[61.4710%, 69.3622%]
555	65.58558559%	[61.5381%, 69.4188%]
556	65.46762590%	[61.4215%, 69.3015%]
557	65.52962298%	[61.4884%, 69.3581%]
558	65.59139785%	[61.5551%, 69.4145%]
559	65.65295170%	[61.6216%, 69.4707%]
560	65.71428571%	[61.6878%, 69.5266%]
561	65.77540107%	[61.7539%, 69.5824%]
562	65.83629893%	[61.8197%, 69.6379%]
563	65.71936057%	[61.7040%, 69.5217%]
564	65.78014184%	[61.7696%, 69.5772%]
565	65.84070796%	[61.8351%, 69.6324%]
566	65.90106007%	[61.9003%, 69.6875%]
567	65.96119929%	[61.9652%, 69.7423%]
568	65.84507042%	[61.8503%, 69.6269%]
569	65.72934974%	[61.7358%, 69.5119%]
570	65.61403509%	[61.6218%, 69.3973%]
571	65.67425569%	[61.6868%, 69.4523%]
572	65.73426573%	[61.7515%, 69.5071%]
573	65.79406632%	[61.8161%, 69.5617%]
574	65.85365854%	[61.8804%, 69.6161%]
575	65.91304348%	[61.9446%, 69.6703%]
576	65.79861111%	[61.8313%, 69.5566%]
577	65.85788562%	[61.8953%, 69.6107%]
578	65.91695502%	[61.9591%, 69.6647%]
579	65.80310881%	[61.8464%, 69.5515%]
580	65.86206897%	[61.9100%, 69.6054%]
581	65.92082616%	[61.9735%, 69.6590%]
